Key,Link,Buy Audio,Title,Shadow,Gift,Siddhi,In My Spheres,My Count,My Lines,Programming Partner,Physiology,Codon Ring,Amino Acid
1,https://teachings.genekeys.com/gene-key-1,https://teachings.genekeys.com/product/audio1,From Entropy to Syntropy,Entropy,Freshness,Beauty,,0,,2,Liver,Ring of Fire,Lysine
2,https://teachings.genekeys.com/gene-key-2,https://teachings.genekeys.com/product/audio2,Returning to the One,Dislocation,Orientation,Unity,,0,,1,Sternum,Ring of Water,Phenylalanine
3,https://teachings.genekeys.com/gene-key-3,https://teachings.genekeys.com/product/audio3,Through the Eyes of a Child,Chaos,Innovation,Innocence,,0,,50,Navel,Ring of Life & Death,Leucine
4,https://teachings.genekeys.com/gene-key-4,https://teachings.genekeys.com/product/audio4,A Universal Panacea,Intolerance,Understanding,Forgiveness,,0,,49,Neocortex,Ring of Union,Valine
5,https://teachings.genekeys.com/gene-key-5,https://teachings.genekeys.com/product/audio5,The Ending of Time,Impatience,Patience,Timelessness,,0,,35,Sacral Plexus,Ring of Light,Threonine
6,https://teachings.genekeys.com/gene-key-6,https://teachings.genekeys.com/product/audio6,The Path to Peace,Conflict,Diplomacy,Peace,,0,,36,Mesenteric Plexus (Lumbar Ganglia),Ring of Alchemy,Glycine
7,https://teachings.genekeys.com/gene-key-7,https://teachings.genekeys.com/product/audio7,Virtue is its Own Reward,Division,Guidance,Virtue,,0,,13,Diaphragm,Ring of Union,Valine
8,https://teachings.genekeys.com/gene-key-8,https://teachings.genekeys.com/product/audio8,Diamond of the Self,Mediocrity,Style,Exquisiteness,"Brand (P),Life's Work (A)",2,"6,6",14,Thyroid (Adam's Apple),Ring of Water,Phenylalanine
9,https://teachings.genekeys.com/gene-key-9,https://teachings.genekeys.com/product/audio9,The Power of the Infintesimal,Inertia,Determination,Invincibility,,0,,16,Sacral Plexus,Ring of Light,Threonine
10,https://teachings.genekeys.com/gene-key-10,https://teachings.genekeys.com/product/audio10,Being at Ease,Self-Obsession,Naturalness,Being,,0,,15,Chest (Heart),Ring of Humanity,Arginine
